stadium,team,league
Dean Court,AFC Bournemouth,Premier League
Emirates Stadium,Arsenal,Premier League
Villa Park,Aston Villa,Premier League
Brentford Community Stadium,Brentford,Premier League
Falmer Stadium,Brighton & Hove Albion,Premier League
Stamford Bridge,Chelsea,Premier League
Selhurst Park,Crystal Palace,Premier League
Goodison Park,Everton,Premier League
Craven Cottage,Fulham,Premier League
Portman Road,Ipswich Town,Premier League
King Power Stadium,Leicester City,Premier League
Anfield,Liverpool,Premier League
City of Manchester Stadium,Manchester City,Premier League
Old Trafford,Manchester United,Premier League
St James' Park,Newcastle United,Premier League
City Ground,Nottingham Forest,Premier League
St Mary's Stadium,Southampton,Premier League
Tottenham Hotspur Stadium,Tottenham Hotspur,Premier League
London Stadium,West Ham United,Premier League
Molineux,Wolverhampton Wanderers,Premier League
Ewood Park,Blackburn Rovers,EFL Championship
Ashton Gate Stadium,Bristol City,EFL Championship
Turf Moor,Burnley,EFL Championship
Cardiff City Stadium,Cardiff City,EFL Championship
Coventry Building Society Arena,Coventry City,EFL Championship
Pride Park,Derby County,EFL Championship
MKM Stadium,Hull City,EFL Championship
Elland Road,Leeds United,EFL Championship
Kenilworth Road,Luton Town,EFL Championship
Riverside Stadium,Middlesbrough,EFL Championship
The Den,Millwall,EFL Championship
Carrow Road,Norwich City,EFL Championship
Kassam Stadium,Oxford United,EFL Championship
Home Park,Plymouth Argyle,EFL Championship
Fratton Park,Portsmouth,EFL Championship
Deepdale,Preston North End,EFL Championship
Loftus Road,Queens Park Rangers,EFL Championship
Bramall Lane,Sheffield United,EFL Championship
Hillsborough,Sheffield Wednesday,EFL Championship
bet365 Stadium,Stoke City,EFL Championship
Stadium of Light,Sunderland,EFL Championship
Liberty Stadium,Swansea City,EFL Championship
Vicarage Road,Watford,EFL Championship
The Hawthorns,West Bromwich Albion,EFL Championship
Oakwell,Barnsley,EFL League One
St Andrew's,Birmingham City,EFL League One
Bloomfield Road,Blackpool,EFL League One
Toughsheet Community Stadium,Bolton Wanderers,EFL League One
Memorial Stadium,Bristol Rovers,EFL League One
Pirelli Stadium,Burton Albion,EFL League One
Abbey Stadium,Cambridge United,EFL League One
The Valley,Charlton Athletic,EFL League One
Broadfield Stadium,Crawley Town,EFL League One
St James Park,Exeter City,EFL League One
Kirklees Stadium,Huddersfield Town,EFL League One
Brisbane Road,Leyton Orient,EFL League One
Sincil Bank,Lincoln City,EFL League One
Field Mill,Mansfield Town,EFL League One
Sixfields Stadium,Northampton Town,EFL League One
London Road,Peterborough United,EFL League One
Madejski Stadium,Reading,EFL League One
New York Stadium,Rotherham United,EFL League One
New Meadow,Shrewsbury Town,EFL League One
Broadhall Way,Stevenage,EFL League One
Edgeley Park,Stockport County,EFL League One
DW Stadium,Wigan Athletic,EFL League One
The Racehorse Ground,Wrexham,EFL League One
Adams Park,Wycombe Wanderers,EFL League One
Crown Ground,Accrington Stanley,EFL League Two
Plough Lane,AFC Wimbledon,EFL League Two
Holker Street,Barrow,EFL League Two
Valley Parade,Bradford City,EFL League Two
Hayes Lane,Bromley,EFL League Two
Brunton Park,Carlisle United,EFL League Two
Whaddon Road,Cheltenham Town,EFL League Two
SMH Group Stadium,Chesterfield,EFL League Two
Colchester Community Stadium,Colchester United,EFL League Two
Gresty Road,Crewe Alexandra,EFL League Two
Eco-Power Stadium,Doncaster Rovers,EFL League Two
Highbury Stadium,Fleetwood Town,EFL League Two
Priestfield Stadium,Gillingham,EFL League Two
Blundell Park,Grimsby Town,EFL League Two
Wetherby Road,Harrogate Town,EFL League Two
Stadium MK,Milton Keynes Dons,EFL League Two
Globe Arena,Morecambe,EFL League Two
Rodney Parade,Newport County,EFL League Two
Meadow Lane,Notts County,EFL League Two
Vale Park,Port Vale,EFL League Two
Moor Lane,Salford City,EFL League Two
County Ground,Swindon Town,EFL League Two
Prenton Park,Tranmere Rovers,EFL League Two
Bescot Stadium,Walsall,EFL League Two
Mill Farm,AFC Fylde,National League
Recreation Ground,Aldershot Town,National League
Moss Lane,Altrincham,National League
The Hive Stadium,Barnet,National League
York Street,Boston United,National League
Cressing Road,Braintree,National League
Victoria Road,Dagenham & Redbridge,National League
Ten Acres,Eastleigh,National League
Stonebridge Road,Ebbsfleet United,National League
The Shay,FC Halifax Town,National League
The New Lawn,Forest Green Rovers,National League
Gateshead International Stadium,Gateshead,National League
Victoria Park,Hartlepool United,National League
York Road,Maidenhead,National League
Boundary Park,Oldham Athletic,National League
Spotland,Rochdale,National League
Damson Park,Solihull Moors,National League
Roots Hall,Southend United,National League
Gander Green Lane,Sutton United,National League
The Lamb Ground,Tamworth,National League
Grosvenor Vale,Wealdstone,National League
Kingfield Stadium,Woking,National League
Huish Park,Yeovil Town,National League
York Community Stadium,York City,National League